ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
2086640519,2026-06-12T13:02:28,2026-06-12T13:12:03,buy,0.01,0.01,XAUUSD,4194.155,4197.2080000000005,4191.114,4224.362,-0.07,,3.05,,,user
2086632464,2026-06-12T12:58:04,2026-06-12T13:02:49,sell,0.01,0.01,XAUUSD,4190.719,4195.712,4195.712,4150.169,-0.07,,-4.99,,,sl
2070020127,2026-05-27T13:27:40,2026-05-27T13:29:42,sell,0.01,0.01,XAUUSD,4407.147,4404.551,4415.972,4395.429,-0.07,,2.6,,,user
2049969848,2026-05-06T06:56:02,2026-05-06T07:50:23,buy,0.01,0.01,XAUUSD,4665.962,4676.317,,4780.943,-0.07,,10.36,,,user
1993057739,2026-03-16T14:41:27,2026-03-16T14:49:05,sell,0.01,0.01,XAUUSD,5005.504,4996.674,,,-0.07,,8.83,,,user
1993048741,2026-03-16T14:37:27,2026-03-16T14:42:43,buy,0.01,0.01,XAUUSD,5011.869,5001.518,5002.181,5032.324,-0.07,,-10.35,,,sl
1993006535,2026-03-16T14:17:25,2026-03-16T14:19:57,buy,0.01,0.01,XAUUSD,5027.687,5024.042,5024.488,,-0.07,,-3.65,,,sl
1991002431,2026-03-13T15:27:36,2026-03-13T15:40:44,buy,0.01,0.01,XAUUSD,5062.249,5056.219,5056.219,5085.986,-0.07,,-6.03,,,sl
1990997482,2026-03-13T15:24:48,2026-03-13T15:27:31,sell,0.01,0.01,XAUUSD,5058.971,5061.066,5062.992,,-0.07,,-2.1,,,user
1990991043,2026-03-13T15:21:02,2026-03-13T15:26:03,buy,0.01,0.01,XAUUSD,5062.4,5057.396,5057.396,5078.838,-0.07,,-5,,,sl
1990464645,2026-03-13T08:57:44,2026-03-13T09:10:32,buy,0.01,0.01,XAUUSD,5085.727,5091.55,5081.354,5100.7,-0.07,,5.82,,,user
1990404097,2026-03-13T08:07:58,2026-03-13T08:21:11,buy,0.01,0.01,XAUUSD,5073.208,5069.948,5066.227,5097.865,-0.07,,-3.26,,,user
1990360306,2026-03-13T07:32:19,2026-03-13T07:55:15,buy,0.01,0.01,XAUUSD,5087.088,5083.664,5083.664,5098.373,-0.07,,-3.43,,,sl
1990329354,2026-03-13T07:16:17,2026-03-13T07:16:59,buy,0.01,0.01,XAUUSD,5087.69,5083.29,5083.29,,-0.07,,-4.4,,,sl
1990320627,2026-03-13T07:08:22,2026-03-13T07:15:11,buy,0.01,0.01,XAUUSD,5090.812,5088.358,5088.358,5098.573,-0.07,,-2.45,,,sl
1988158828,2026-03-11T14:07:12,2026-03-11T14:08:11,sell,0.01,0.01,XAUUSD,5185.39,5181.264,5189.434,5178.032,-0.07,,4.13,,,user
1986822680,2026-03-10T15:26:27,2026-03-10T15:27:45,sell,0.01,0.01,XAUUSD,5225.097,5224.7339999999995,5228.809,,-0.07,,0.37,,,user
1986515602,2026-03-10T12:35:30,2026-03-10T12:45:00,buy,0.01,0.01,XAUUSD,5181.93,5185.629,5177.868,5191.381,-0.07,,3.7,,,user
1983569355,2026-03-07T07:42:42,2026-03-07T07:48:29,sell,0.01,0.01,BTCUSD,67734.77,67788.41,68162.87,66447.97,-0.04,,-0.53,,,user
1982818976,2026-03-06T12:31:02,2026-03-06T12:35:21,buy,0.01,0.01,XAUUSD,5088.256,5090.135,5084.8,5095.595,-0.07,,1.88,,,user
1982779161,2026-03-06T11:58:39,2026-03-06T12:00:30,buy,0.01,0.01,XAUUSD,5072.773,5077.586,5062.154,,-0.07,,4.82,,,user
1982431233,2026-03-06T06:58:55,2026-03-06T06:59:35,buy,0.01,0.01,XAUUSD,5117.447,5115.392,5115.421,,-0.07,,-2.06,,,sl
1979899011,2026-03-04T13:03:14,2026-03-04T13:08:26,sell,0.01,0.01,XAUUSD,5177.98,5184.085,5184.085,5162.338,-0.07,,-6.11,,,sl
1979868446,2026-03-04T12:45:36,2026-03-04T12:46:09,sell,0.01,0.01,XAUUSD,5164.504,5167.296,5175.685,5151.896,-0.07,,-2.8,,,user
1979849448,2026-03-04T12:38:32,2026-03-04T12:43:21,sell,0.01,0.01,XAUUSD,5169.365,5164.813999999999,5174.995,5135.448,-0.07,,4.56,,,user
1979862773,2026-03-04T12:42:50,2026-03-04T12:43:09,sell,0.01,0.01,XAUUSD,5160.357,5163.016,5163.016,5135.46,-0.07,,-2.66,,,sl
1979819657,2026-03-04T12:19:55,2026-03-04T12:27:00,buy,0.02,0.02,XAUUSD,5182.889,5176.695,5177.36,5187.455,-0.14,,-12.39,,,sl
1979746852,2026-03-04T11:06:51,2026-03-04T11:12:42,buy,0.01,0.01,XAUUSD,5189.255,5194.368,5186.11,5200,-0.07,,5.11,,,user
1979071261,2026-03-04T00:57:36,2026-03-04T00:59:09,buy,0.01,0.01,XAUUSD,5132.36,5138.192,5127.546,5140.6,-0.07,,5.83,,,user
1978277711,2026-03-03T12:59:14,2026-03-03T13:00:17,sell,0.01,0.01,XAUUSD,5222.299,5211.512,5227.21,5211.512,-0.07,,10.79,,,tp
1977720337,2026-03-03T08:00:03,2026-03-03T08:10:42,buy,0.01,0.01,XAUUSD,5327.519,5323.155,5323.155,5345,-0.07,,-4.36,,,sl
